 varietyname, experimentalnum, regdate, previousname
AAC Broadacres,"BW5028, B0919-EJ05C",10/25/2019,
CDC Reign,"HY2062, HY08.34.182",11/1/2019,
AAC Redstar,"PT488, 09B12-FJ2D",2/7/2020,
SY Brawn,"PT652, CS11200228-7",4/24/2020,
SY Crossite,CS11200214-17,4/24/2020,
SY Rorke,"HY2068, CS11300017-3",4/24/2020,
SY Cast ,CS11200104-11,4/24/2020,
Shelly,2015-09,5/1/2020,
SY Natron,"BW1064, CS11200025-8",7/17/2020,
AAC Hodge,"BW1069, BJ08B-NP-24-NGNB-10-N",7/31/2020,
Noor,"PT786, Entry 140 Parkland B 2015, UAW1065*F7MBK23",8/7/2020,
Coralia,"CFB1618, C1M16057, VZ_ST145/13",8/21/2020,
Sibia,"CFB1708, C1M17172, ACS 16619",8/21/2020,
Atys,BS14-716,8/28/2020,
CDC SKRush,"PT599, W13679",9/4/2020,CDC Rush
AAC Volta,"ERA149-R1, F5 PL-647(08)6A1A F8",9/18/2020,
AAC Hockley,BW5044,11/20/2020,
AAC Tomkins,"HW402, H1161, BC004",11/20/2020,
AAC Whitehead,"HW506, W13798",1/29/2021,
Sirlaurier,"BS15-14, 24",1/29/2021,
Minestro,"BS15-24,13",1/29/2021,
Starlite,BS15-912,3/5/2021,
Alban,"BS15-15, 02",3/19/2021,
CDC Pilar CLPlus,"PT598, IR14176",4/16/2021,
CDC Succession CLPlus,"BW5031, IR14145",4/23/2021,
Forefront,"HY2082, Entry 27 HWY B 2016, UAW1219*f5MBK08",4/23/2021,
Yamaska,12SW508.33,5/21/2021,
CDC Silas,"BW5045, 12ORG20",6/11/2021,
AAC Perform,"HY2074, 16GPB-18",6/11/2021,
SY Donald,"BW5055, CS12200342-2",7/9/2021,
SY Manness,"BW1093, NH032, 08S0303-16",7/9/2021,
AAC Rimbey,"HY2095, C1203-HQ*03",7/23/2021,
Resolve,"LNR15-1405, BW5072",8/20/2021,
AAC Westlock,"HY2090, WB25597",12/3/2021,
Evora,"CLB08-067, 011, CFB2101, C1M21450",12/10/2021,
Donalda,"BW5065, Entry 8 Parkland B 2017, UAW1131*F8SSD080",1/28/2022,
Redcliff,"PT793, Entry 18 Parkland B 2017, UAW1267*F7MBK78",2/18/2022,
Arvida,"CLB08-72, 012",2/18/2022,
Peribonka,"CLB08-008, 008",2/18/2022,
Arona,"CLB08-034, 040",3/11/2022,
AC MIMI,Q.W. 500.35,7/8/1992,
AC2000,HY446,6/27/2000,
ALSEN,"BW316, ND 716",3/27/2002,
SNOWHITE475,HY475,4/28/2006,
SNOWHITE476,HY476,5/5/2006,
CHARING,"KWS-W320, 2014-8",11/4/2016,
OWENS,,7/31/1984,
SWS-52,SWS-52,5/24/1989,
