"Region","YOR","G","BLUP"
"Central Great Plains",1995,"DOMINATOR",3.34421989370582
"Central Great Plains",2013,"DOUBLESTOP CL+",3.68826279244764
"Central Great Plains",2006,"DUSTER",3.47982138796678
"Central Great Plains",2004,"ENDURANCE",3.4877914721176
"Central Great Plains",1998,"ENHANCER",3.29064719587588
"Central Great Plains",2009,"EVEREST",3.46005006501316
"Central Great Plains",2004,"FANNIN",3.06428116662185
"Central Great Plains",2019,"FORTIFY SF",3.81043932995298
"Central Great Plains",2006,"FULLER",3.40050603219818
"Central Great Plains",2012,"GALLAGHER",3.57533133013839
"Central Great Plains",2011,"GARRISON",3.20206659945058
"Central Great Plains",2002,"GOODSTREAK",3.29897060946788
"Central Great Plains",2018,"GREEN HAMMER",3.70534821988667
"Central Great Plains",2009,"GREER",3.4121502159829
"Central Great Plains",2019,"GUARDIAN",3.84475834127321
"Central Great Plains",2005,"GUYMON",3.3335032087649
"Central Great Plains",1994,"HALT",3.26828629736459
"Central Great Plains",2002,"HARRY",3.46110787021641
"Central Great Plains",2004,"HATCHER",3.58102230892616
"Central Great Plains",2006,"HAWKEN",3.46019780191296
"Central Great Plains",1998,"HEYNE",3.08394756248984
"Central Great Plains",2008,"HITCH",3.53720572430725
"Central Great Plains",2015,"HOT ROD",3.65572011595847
"Central Great Plains",2012,"IBA",3.62922027662951
"Central Great Plains",1993,"IKE",3.3843703436139
"Central Great Plains",2017,"INCLINE AX",3.45232034867459
"Central Great Plains",2004,"INFINITY CL",3.54428739797179
"Central Great Plains",2000,"INTRADA",3.12851771348459
"Central Great Plains",2008,"JACKPOT",3.40001163108475
"Central Great Plains",2001,"JAGALENE",3.35856476235297
"Central Great Plains",1994,"JAGGER",3.26499378051254
"Central Great Plains",2015,"JOE",4.08946131679958
"Central Great Plains",1999,"KALVESTA",3.26328739748878
"Central Great Plains",2014,"KANMARK",3.55665304756857
"Central Great Plains",1992,"KARL 92",3.18583020332677
"Central Great Plains",2005,"KEOTA",3.42077875823195
"Central Great Plains",2020,"KIVARI AX",3.83028140256517
"Central Great Plains",2021,"KS AHEARN",3.76301081105394
"Central Great Plains",2019,"KS DALLAS",3.7985760612672
"Central Great Plains",2020,"KS HAMILTON",3.84192214537014
"Central Great Plains",2019,"KS SILVERADO",3.64615857942181
"Central Great Plains",2019,"KS WESTERN STAR",3.70760252230919
"Central Great Plains",2000,"LAKIN",3.09690954262985
"Central Great Plains",2016,"LANGIN",3.88852944391086
"Central Great Plains",2016,"LARRY",3.67796290718513
"Central Great Plains",2019,"LCS ATOMIC AX",3.8832603944252
"Central Great Plains",2016,"LCS CHROME",3.72778994101659
"Central Great Plains",2019,"LCS HELIX AX",3.85976635343171
"Central Great Plains",2019,"LCS JULEP",3.5707909304376
"Central Great Plains",2014,"LCS MINT",3.61005621636277
"Central Great Plains",2015,"LCS PISTOL",3.51718668347433
"Central Great Plains",2018,"LCS REVERE",3.61822567114796
"Central Great Plains",2019,"LCS VALIANT",3.72926850248137
"Central Great Plains",2013,"LCS WIZARD",3.33833249141295
"Central Great Plains",1998,"LOCKETT",3.03081716603406
"Central Great Plains",2017,"LONERIDER",3.62040123838504
"Central Great Plains",2016,"LONG BRANCH",3.65159781043632
"Central Great Plains",2007,"MACE",3.18515423504762
"Central Great Plains",2010,"MCGILL",3.36870918137475
"Central Great Plains",2000,"MILLENNIUM",3.39088516327831
"Central Great Plains",2018,"MONARCH",3.90290372202651
"Central Great Plains",2021,"MS MAVERICK",3.72967082573367
"Central Great Plains",2005,"NUDAKOTA",3.64301149811137
"Central Great Plains",2000,"NUFRONTIER",3.31068437000773
"Central Great Plains",2006,"NUGRAIN",3.4164811651261
"Central Great Plains",2003,"NUHILLS",3.36868240184013
"Central Great Plains",2000,"NUHORIZON",3.09190972072932
"Central Great Plains",1999,"NUPLAINS",3.28144808355013
"Central Great Plains",2013,"OAKLEY CL",3.88470277801555
"Central Great Plains",1993,"OGALLALA",3.23272805092392
"Central Great Plains",2005,"OK BULLET",3.3136162904056
"Central Great Plains",2020,"OK CORRAL",3.67223328442827
"Central Great Plains",2008,"OK RISING",3.17054078090584
"Central Great Plains",2001,"OK101",3.19167891379166
"Central Great Plains",2002,"OK102",3.21053279072265
"Central Great Plains",2005,"OKFIELD",3.17086130476391
"Central Great Plains",1998,"ONAGA",3.16502425472244
"Central Great Plains",1994,"ORO BLANCO",3.10516029025535
"Central Great Plains",2007,"OVERLAND",3.56184834587735
"Central Great Plains",2003,"OVERLEY",3.33518196723757
"Central Great Plains",2017,"PARADISE",3.63555198562882
"Central Great Plains",2009,"PETE",2.9639638622615
"Central Great Plains",2005,"POSTROCK",3.34165245103286
"Central Great Plains",1998,"PRAIRIE RED",3.34019008175182
"Central Great Plains",2004,"PROTECTION",3.25511943944659
"Central Great Plains",1997,"PROWERS 99",3.06592280558585
"Central Great Plains",2006,"RIPPER",3.55097538256836
"Central Great Plains",2010,"ROBIDOUX",3.45075751552993
"Central Great Plains",2019,"ROCK STAR",3.88670991386326
"Central Great Plains",2006,"RONL",3.14890648945697
"Central Great Plains",2011,"RUBY LEE",3.51858150624497
"Central Great Plains",2015,"RUTH",3.72071420553207
"Central Great Plains",2005,"SANTA FE",3.43419244419683
"Central Great Plains",1967,"SCOUT 66",2.91854938313303
"Central Great Plains",2008,"SETTLER CL",3.61068511567488
"Central Great Plains",2005,"SHOCKER",3.16873930498437
"Central Great Plains",2018,"SHOWDOWN",3.89286804747614
"Central Great Plains",2018,"SKYDANCE",3.53065549735129
"Central Great Plains",2017,"SMITH S GOLD",3.63344742388723
"Central Great Plains",2006,"SMOKY HILL",3.44636674532107
"Central Great Plains",2009,"SNOWMASS",3.50297662042184
"Central Great Plains",2018,"SNOWMASS 2",3.89672146422635
"Central Great Plains",2017,"SPIRIT RIDER",3.57872085221886
"Central Great Plains",2017,"SPUR",3.39286541471317
"Central Great Plains",2000,"STANTON",3.26235848622468
